C:\Users\user\Downloads\1727-07 GBMC-20_2020-06-06 17_37_49.scn
C:\Users\user\Downloads\1727-07 GBMC-20_2020-06-06 17_37_49.xml
Samplefile-tile-r100-c100-x22016-y8704-w256-h256.png Mitosis58 3 3.1396115261793285
Samplefile-tile-r100-c100-x22016-y8960-w256-h256.png Mitosis58 1 0.0
Samplefile-tile-r100-c100-x22016-y9216-w256-h256.png Mitosis79 1 1.2399683783122073
Samplefile-tile-r100-c100-x22016-y9216-w256-h256.png Mitosis81 3 1.5506617903688549
Samplefile-tile-r100-c100-x22272-y3072-w256-h256.png Mitosis75 1 0.16919363036402446
Samplefile-tile-r100-c100-x22528-y3328-w256-h256.png Mitosis76 3 1.6583466369218796
Samplefile-tile-r100-c100-x22784-y4096-w256-h256.png Mitosis77 3 1.8174809101611753
Samplefile-tile-r100-c100-x23040-y3840-w256-h256.png Mitosis82 1 0.38175985992388733
Samplefile-tile-r100-c100-x23040-y3840-w256-h256.png Mitosis83 3 1.2395722336595436
Samplefile-tile-r100-c100-x23040-y6144-w256-h256.png Mitosis113 1 1.085802836502902
Samplefile-tile-r100-c100-x23296-y3840-w256-h256.png Mitosis82 1 1.2095828724758164
Samplefile-tile-r100-c100-x23296-y6144-w256-h256.png Mitosis113 1 0.07240751309388242
Samplefile-tile-r100-c100-x24064-y4096-w256-h256.png Mitosis84 3 1.4860508824380947
Samplefile-tile-r100-c100-x24576-y3584-w256-h256.png Mitosis85 3 3.086965601197602
Samplefile-tile-r100-c100-x25600-y3584-w256-h256.png Mitosis87 1 2.6955868630028057
Samplefile-tile-r100-c100-x25600-y3840-w256-h256.png Mitosis87 1 0.339929311510065
Samplefile-tile-r100-c100-x25856-y3840-w256-h256.png Mitosis88 3 1.446566438700357
Samplefile-tile-r100-c100-x27904-y9728-w256-h256.png Mitosis89 3 0.8375488065259836
