C:/Users/user/Downloads/123456789012_2020-05-23 16_16_51.scn
C:/Users/user/Downloads/123456789012_2020-05-23 16_16_51.xml
0.0 0.0 68864.0 41984.0
Samplefile-tile-r100-c100-x20992-y36096-w256-h256.png Mitosis21 1 0.47556582642373135 Samplefile-tile-r100-c100-x20992-y36096-w256-h256_masked.png
Samplefile-tile-r100-c100-x20992-y37632-w256-h256.png Mitosis18 3 1.464513913124871 Samplefile-tile-r100-c100-x20992-y37632-w256-h256_masked.png
Samplefile-tile-r100-c100-x21248-y35840-w256-h256.png Mitosis22 3 2.4552145014163256 Samplefile-tile-r100-c100-x21248-y35840-w256-h256_masked.png
Samplefile-tile-r100-c100-x21248-y35840-w256-h256.png Mitosis23 3 1.4238329710943793 Samplefile-tile-r100-c100-x21248-y35840-w256-h256_masked.png
Samplefile-tile-r100-c100-x21504-y37632-w256-h256.png Mitosis19 3 2.11062299244449 Samplefile-tile-r100-c100-x21504-y37632-w256-h256_masked.png
Samplefile-tile-r100-c100-x22016-y28928-w256-h256.png Mitosis27 3 2.379835108826428 Samplefile-tile-r100-c100-x22016-y28928-w256-h256_masked.png
Samplefile-tile-r100-c100-x22528-y28672-w256-h256.png Mitosis26 3 2.7555355734701936 Samplefile-tile-r100-c100-x22528-y28672-w256-h256_masked.png
Samplefile-tile-r100-c100-x22528-y34048-w256-h256.png Mitosis28 1 0.4501523387724672 Samplefile-tile-r100-c100-x22528-y34048-w256-h256_masked.png
Samplefile-tile-r100-c100-x22528-y34304-w256-h256.png Mitosis28 1 0.03937061321066402 Samplefile-tile-r100-c100-x22528-y34304-w256-h256_masked.png
Samplefile-tile-r100-c100-x22784-y34048-w256-h256.png Mitosis28 1 0.9934807189979343 Samplefile-tile-r100-c100-x22784-y34048-w256-h256_masked.png
Samplefile-tile-r100-c100-x22784-y34304-w256-h256.png Mitosis28 1 0.14782350515488119 Samplefile-tile-r100-c100-x22784-y34304-w256-h256_masked.png
Samplefile-tile-r100-c100-x22784-y34560-w256-h256.png Mitosis29 3 3.5464209464923706 Samplefile-tile-r100-c100-x22784-y34560-w256-h256_masked.png
Samplefile-tile-r100-c100-x38400-y10752-w256-h256.png Mitosis30 3 3.1108955670962946 Samplefile-tile-r100-c100-x38400-y10752-w256-h256_masked.png
Samplefile-tile-r100-c100-x43264-y11776-w256-h256.png Mitosis31 3 3.7414501685867108 Samplefile-tile-r100-c100-x43264-y11776-w256-h256_masked.png
Samplefile-tile-r100-c100-x43264-y23808-w256-h256.png Mitosis33 1 1.3948742708789876 Samplefile-tile-r100-c100-x43264-y23808-w256-h256_masked.png
Samplefile-tile-r100-c100-x43264-y23808-w256-h256.png Mitosis35 3 2.737588099041727 Samplefile-tile-r100-c100-x43264-y23808-w256-h256_masked.png
Samplefile-tile-r100-c100-x43520-y11520-w256-h256.png Mitosis32 3 2.4037650747304324 Samplefile-tile-r100-c100-x43520-y11520-w256-h256_masked.png
Samplefile-tile-r100-c100-x43520-y23808-w256-h256.png Mitosis33 1 0.3950871784962696 Samplefile-tile-r100-c100-x43520-y23808-w256-h256_masked.png
Samplefile-tile-r100-c100-x44032-y23808-w256-h256.png Mitosis34 3 1.955078214090398 Samplefile-tile-r100-c100-x44032-y23808-w256-h256_masked.png
Samplefile-tile-r100-c100-x46592-y13568-w256-h256.png Mitosis36 3 2.434874030404889 Samplefile-tile-r100-c100-x46592-y13568-w256-h256_masked.png
Samplefile-tile-r100-c100-x47104-y16896-w256-h256.png Mitosis39 1 0.01612006631365367 Samplefile-tile-r100-c100-x47104-y16896-w256-h256_masked.png
Samplefile-tile-r100-c100-x47104-y17152-w256-h256.png Mitosis38 3 0.0 Samplefile-tile-r100-c100-x47104-y17152-w256-h256_masked.png
Samplefile-tile-r100-c100-x47104-y17152-w256-h256.png Mitosis39 1 3.7887445119089667 Samplefile-tile-r100-c100-x47104-y17152-w256-h256_masked.png
Samplefile-tile-r100-c100-x47616-y14080-w256-h256.png Mitosis37 3 3.247296372735083 Samplefile-tile-r100-c100-x47616-y14080-w256-h256_masked.png
Samplefile-tile-r100-c100-x48128-y18944-w256-h256.png Mitosis40 3 0.0 Samplefile-tile-r100-c100-x48128-y18944-w256-h256_masked.png
Samplefile-tile-r100-c100-x48128-y18944-w256-h256.png Mitosis41 3 1.4573349233555282 Samplefile-tile-r100-c100-x48128-y18944-w256-h256_masked.png
Samplefile-tile-r100-c100-x49664-y8448-w256-h256.png Mitosis43 3 2.182412890146781 Samplefile-tile-r100-c100-x49664-y8448-w256-h256_masked.png
Samplefile-tile-r100-c100-x49664-y11520-w256-h256.png Mitosis42 1 0.14704240035516788 Samplefile-tile-r100-c100-x49664-y11520-w256-h256_masked.png
Samplefile-tile-r100-c100-x49920-y11520-w256-h256.png Mitosis42 1 1.3078995264114264 Samplefile-tile-r100-c100-x49920-y11520-w256-h256_masked.png
Samplefile-tile-r100-c100-x50176-y8192-w256-h256.png Mitosis44 3 1.9598642072717185 Samplefile-tile-r100-c100-x50176-y8192-w256-h256_masked.png
Samplefile-tile-r100-c100-x50432-y7168-w256-h256.png Mitosis46 3 2.5916153070483907 Samplefile-tile-r100-c100-x50432-y7168-w256-h256_masked.png
Samplefile-tile-r100-c100-x50432-y8448-w256-h256.png Mitosis45 3 2.611955778070146 Samplefile-tile-r100-c100-x50432-y8448-w256-h256_masked.png
Samplefile-tile-r100-c100-x51968-y11776-w256-h256.png Mitosis49 1 0.5976433216174954 Samplefile-tile-r100-c100-x51968-y11776-w256-h256_masked.png
Samplefile-tile-r100-c100-x51968-y12032-w256-h256.png Mitosis49 1 2.3098475353247423 Samplefile-tile-r100-c100-x51968-y12032-w256-h256_masked.png
Samplefile-tile-r100-c100-x52224-y12544-w256-h256.png Mitosis50 3 3.33105125338617 Samplefile-tile-r100-c100-x52224-y12544-w256-h256_masked.png
Samplefile-tile-r100-c100-x52480-y9472-w256-h256.png Mitosis48 3 3.234134891491806 Samplefile-tile-r100-c100-x52480-y9472-w256-h256_masked.png
Samplefile-tile-r100-c100-x52736-y768-w256-h256.png Mitosis47 1 0.49255032022505085 Samplefile-tile-r100-c100-x52736-y768-w256-h256_masked.png
Samplefile-tile-r100-c100-x52736-y15360-w256-h256.png Mitosis51 3 2.1584829242486223 Samplefile-tile-r100-c100-x52736-y15360-w256-h256_masked.png
Samplefile-tile-r100-c100-x52992-y768-w256-h256.png Mitosis47 1 0.7565938997945251 Samplefile-tile-r100-c100-x52992-y768-w256-h256_masked.png
Samplefile-tile-r100-c100-x53248-y16384-w256-h256.png Mitosis52 3 1.507587851746578 Samplefile-tile-r100-c100-x53248-y16384-w256-h256_masked.png
Samplefile-tile-r100-c100-x60672-y5120-w256-h256.png Mitosis53 3 1.5051948551560188 Samplefile-tile-r100-c100-x60672-y5120-w256-h256_masked.png
